type,sex,version,Age,60m,100m,200m,400m,800m,1000m,1500m,1 mile,3000m,5000m,10000m
track,female,2023,49,7.41,11.53,23.86,53.07,127.08,165.92,256.22,277.62,541.56,935.64,1956.16
track,female,2023,50,7.45,11.61,24.02,53.42,128.11,167.24,258.18,279.75,546.12,944.05,1972.18
track,female,2023,51,7.49,11.69,24.18,53.78,129.15,168.56,260.18,281.92,550.7,952.61,1988.23
track,female,2023,52,7.53,11.77,24.34,54.14,130.2,169.93,262.23,284.15,555.49,961.33,2004.78
track,female,2023,53,7.57,11.85,24.5,54.5,131.27,171.32,264.29,286.45,560.29,970.1,2021.37
track,female,2023,54,7.62,11.93,24.66,54.87,132.35,172.71,266.44,288.75,565.24,979.03,2038
track,female,2023,55,7.66,12.02,24.83,55.24,133.44,174.12,268.6,291.16,570.28,988.24,2055.15
track,female,2023,56,7.7,12.1,24.99,55.62,134.53,175.55,270.82,293.62,575.41,997.51,2072.34
track,female,2023,57,7.75,12.18,25.16,55.99,135.64,177.01,273.08,296.11,580.63,1006.96,2089.82
track,female,2023,58,7.79,12.27,25.33,56.37,136.76,178.48,275.42,298.68,586.02,1016.58,2107.6
