type,sex,version,age,1 mile,5k,6k,4 miles,8k,5 miles,10k,7 miles,12k,15k,10 miles,20k,half marathon,25k,30k,marathon,50k,50 miles,100k,150k,100 miles,200k
road,male,2025,25,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,26,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,27,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,28,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,29,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,30,232,769,930,1000,1255,1264,1584,1790,1915,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,31,232,770,931,1001,1256,1265,1585,1791,1916,2415,2595,3260,3451,4110,4980,7235,8820,16080,21360,36300,39790,52800
road,male,2025,32,232,772,933,1003,1258,1267,1586,1792,1917,2417,2597,3262,3452,4111,4981,7235,8820,16080,21360,36300,39790,52800
road,male,2025,33,233,774,936,1006,1261,1270,1589,1796,1921,2421,2601,3266,3457,4116,4984,7235,8820,16080,21360,36300,39790,52800
road,male,2025,34,233,778,939,1010,1265,1274,1593,1800,1925,2427,2607,3273,3465,4122,4990,7235,8820,16080,21360,36300,39790,52800
road,male,2025,35,234,783,945,1015,1270,1279,1599,1806,1932,2435,2616,3284,3476,4132,4997,7235,8820,16080,21360,36300,39790,52800
road,male,2025,36,235,788,950,1021,1276,1285,1605,1813,1939,2445,2626,3297,3490,4145,5008,7236,8821,16082,21362,36304,39794,52805
road,male,2025,37,236,794,957,1027,1283,1293,1613,1822,1949,2457,2639,3314,3507,4163,5025,7250,8839,16114,21405,36376,39874,52911
road,male,2025,38,238,800,963,1034,1291,1301,1622,1832,1960,2471,2654,3333,3528,4186,5051,7283,8879,16187,21502,36541,40054,53151
road,male,2025,39,239,806,970,1041,1300,1309,1632,1844,1973,2487,2672,3356,3553,4215,5086,7334,8941,16300,21652,36797,40335,53523
road,male,2025,40,241,812,977,1049,1309,1319,1644,1858,1987,2506,2693,3382,3581,4249,5128,7395,9016,16437,21834,37105,40673,53971
road,male,2025,41,243,818,985,1057,1320,1329,1657,1872,2003,2526,2714,3410,3610,4283,5170,7458,9092,16576,22018,37419,41016,54427
